dupl,new
1314.0,1998951.0
1315.0,1998952.0
1316.0,1998953.0
1317.0,1998954.0
1318.0,1998955.0
1319.0,1998956.0
1320.0,1998957.0
1321.0,1998958.0
1322.0,1998959.0
1323.0,1998960.0
1324.0,1998961.0
1325.0,1998962.0
1326.0,1998963.0
1327.0,1998964.0
1328.0,1998965.0
1329.0,1998966.0
1330.0,1998967.0
1331.0,1998968.0
1332.0,1998969.0
1333.0,1998970.0
1334.0,1998971.0
1335.0,1998972.0
1336.0,1998973.0
1337.0,1998974.0
1338.0,1998975.0
1339.0,1998976.0
1340.0,1998977.0
1341.0,1998978.0
1342.0,1998979.0
1343.0,1998980.0
1344.0,1998981.0
1345.0,1998982.0
1346.0,1998983.0
1347.0,1998984.0
1348.0,1998985.0
1349.0,1998986.0
1350.0,1998987.0
1351.0,1998988.0
1352.0,1998989.0
1353.0,1998990.0
1354.0,1998991.0
1355.0,1998992.0
1356.0,1998993.0
1357.0,1998994.0
1358.0,1998995.0
1359.0,1998996.0
1360.0,1998997.0
